,Name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Class
0,Emmitt Smith+,206.5,309.1,377.8,307.0,364.5,426.8,282.3,194.8,267.7,256.6,193.2,148.7,152.4,62.3,173.2,0.0,5
1,Walter Payton+,164.2,246.9,335.1,303.5,319.3,270.7,249.1,128.7,303.8,316.2,318.4,274.5,138.0,0.0,0.0,0.0,5
2,Marshall Faulk+,304.4,295.3,199.5,247.5,368.7,401.9,455.9,423.7,289.0,221.8,182.4,108.3,0.0,0.0,0.0,0.0,5
3,LaDainian Tomlinson+,279.3,386.2,439.0,338.6,354.2,474.3,362.9,277.6,180.4,216.2,132.9,0.0,0.0,0.0,0.0,0.0,5
4,Barry Sanders+,283.2,310.4,328.5,246.7,186.0,308.6,309.8,260.0,352.8,239.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5,Marcus Allen+,231.8,294.4,364.6,382.4,209.2,197.4,195.4,80.4,180.1,68.8,103.8,224.2,189.8,167.0,191.0,136.1,5
6,Tony Dorsett+,235.0,261.3,235.2,244.8,265.1,146.4,254.8,257.8,281.6,162.5,94.3,128.5,0.0,0.0,0.0,0.0,5
7,Franco Harris+,210.5,104.7,179.6,240.0,234.9,199.4,192.6,255.7,164.5,214.7,128.3,204.5,18.3,0.0,0.0,0.0,5
8,Thurman Thomas+,138.9,323.3,309.9,337.8,341.3,254.2,248.2,196.5,202.7,121.1,104.1,27.9,47.3,0.0,0.0,0.0,5
9,Edgerrin James+,377.9,401.3,127.5,213.3,272.1,308.1,312.3,211.6,208.6,89.9,17.4,0.0,0.0,0.0,0.0,0.0,5
10,Frank Gore,106.9,333.0,242.8,231.9,282.6,206.5,197.5,226.8,196.9,162.7,199.4,216.2,173.6,102.6,94.9,102.2,5
11,Curtis Martin+,294.8,296.5,216.6,262.2,247.3,307.2,296.3,236.6,211.0,319.2,139.3,0.0,0.0,0.0,0.0,0.0,5
12,Adrian Peterson,257.9,269.5,332.9,277.9,206.9,349.4,238.7,11.3,266.7,11.0,82.9,193.0,151.0,124.5,26.6,0.0,5
13,Warrick Dunn,225.0,193.0,196.5,253.5,204.4,234.4,167.8,223.0,216.6,183.0,156.8,170.6,0.0,0.0,0.0,0.0,5
14,Tiki Barber,139.0,111.4,164.7,296.5,240.2,333.4,254.7,351.6,359.0,300.7,0.0,0.0,0.0,0.0,0.0,0.0,5
15,Jim Brown+,175.7,290.5,259.9,231.1,292.7,306.3,327.1,268.6,347.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
16,Ricky Watters,250.8,224.6,291.6,304.7,314.5,245.0,267.2,241.7,302.5,59.5,0.0,0.0,0.0,0.0,0.0,0.0,5
17,John Riggins+,154.0,186.4,111.0,147.0,220.8,119.4,48.8,192.3,231.6,161.3,88.3,286.6,219.2,123.5,0.0,0.0,5
18,O.J. Simpson+,164.0,102.7,141.4,207.9,285.3,170.4,390.3,252.2,85.5,115.5,75.6,0.0,0.0,0.0,0.0,0.0,5
19,Roger Craig,235.2,263.4,388.6,268.4,220.7,339.6,243.7,95.0,95.6,104.0,59.8,0.0,0.0,0.0,0.0,0.0,5
20,Eric Dickerson+,392.2,329.4,228.0,294.6,199.9,329.6,230.2,118.9,139.5,113.4,20.9,0.0,0.0,0.0,0.0,0.0,5
21,Fred Taylor,310.4,127.5,283.9,14.9,269.2,284.2,210.9,118.0,197.8,165.0,87.4,54.6,18.1,0.0,0.0,0.0,5
22,Jerome Bettis+,235.3,186.8,110.3,243.3,246.5,161.5,183.1,204.8,144.0,133.3,144.7,182.7,98.8,0.0,0.0,0.0,5
23,Earnest Byner,77.4,251.2,121.5,210.4,204.2,211.8,222.8,199.6,214.6,62.9,55.1,177.6,150.4,65.1,0.0,0.0,5
24,LeSean McCoy,158.5,299.2,330.4,205.3,332.6,205.4,180.7,296.3,265.6,127.2,122.6,28.2,0.0,0.0,0.0,0.0,5
25,Matt Forte,306.5,221.0,266.6,224.7,223.4,339.3,346.6,214.7,185.6,122.4,0.0,0.0,0.0,0.0,0.0,0.0,5
26,Leroy Kelly+,1.2,35.1,278.7,246.7,295.6,188.4,168.7,208.7,154.5,89.9,0.0,0.0,0.0,0.0,0.0,0.0,5
27,James Brooks,167.4,98.6,116.1,124.4,277.5,285.3,96.2,234.8,245.5,207.3,155.9,6.3,0.0,0.0,0.0,0.0,5
28,Lydell Mitchell,66.2,136.6,244.1,323.7,283.5,290.9,219.0,62.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,Ottis Anderson,292.3,256.0,281.3,101.3,262.9,296.5,117.4,74.4,4.2,83.5,241.1,176.3,35.2,3.1,0.0,0.0,5
30,Jim Taylor+,47.9,109.3,203.2,269.2,294.0,181.6,280.3,138.1,180.6,114.1,0.0,0.0,0.0,0.0,0.0,0.0,5
31,Herschel Walker,317.4,268.6,296.9,227.8,197.5,195.9,232.8,234.6,194.8,73.0,30.2,42.9,0.0,0.0,0.0,0.0,5
32,Ahman Green,30.1,12.0,324.4,326.1,274.3,395.0,231.8,59.2,225.2,64.3,61.6,26.8,0.0,0.0,0.0,0.0,5
33,Steven Jackson,129.2,239.6,419.4,201.3,230.1,248.8,244.4,225.8,198.6,148.4,141.5,14.0,0.0,0.0,0.0,0.0,5
34,Larry Brown,177.0,225.6,164.4,272.9,258.2,160.8,112.7,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
35,Priest Holmes,0.0,211.8,86.0,124.9,338.9,442.7,447.0,216.9,127.8,20.4,0.0,0.0,0.0,0.0,0.0,0.0,5
36,Freeman McNeil,115.4,155.3,127.6,197.4,243.8,211.6,109.2,199.2,115.2,120.8,54.6,48.4,0.0,0.0,0.0,0.0,5
37,Larry Csonka+,118.8,113.9,143.8,177.4,157.5,139.5,139.4,90.8,56.4,81.4,185.2,0.0,0.0,0.0,0.0,0.0,5
38,Corey Dillon,225.8,188.8,216.0,219.3,266.3,245.9,84.2,266.8,191.4,188.9,0.0,0.0,0.0,0.0,0.0,0.0,5
39,Ricky Williams,145.6,238.9,277.6,370.6,282.3,136.6,1.5,146.8,251.5,118.4,77.7,0.0,0.0,0.0,0.0,0.0,5
40,Eddie George,226.0,193.3,233.4,301.2,342.2,188.8,262.0,171.4,84.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
41,Marshawn Lynch,189.9,234.6,102.9,146.2,247.6,273.6,277.3,306.3,80.7,166.2,79.0,9.4,0.0,0.0,0.0,0.0,5
42,Bill Brown,10.7,38.7,114.4,300.9,203.2,191.8,139.3,228.4,100.3,74.3,45.0,126.1,51.8,13.2,0.0,0.0,5
